date,VT,BWX,GLD,SHV
2013-08-23,31.3188,24.77,134.89999389648438,88.92442321777344
2013-08-26,31.0688,24.795,135.4499969482422,88.93247985839844
2013-08-27,30.1188,24.955,136.75,88.94054412841797
2013-08-28,30.1988,24.81,136.7100067138672,88.94054412841797
2013-08-29,30.2288,24.675,135.8699951171875,88.94054412841797
2013-08-30,29.9488,24.67,134.6199951171875,88.94054412841797
2013-09-03,30.4288,24.4573,136.4199981689453,88.94863891601562
2013-09-04,30.9788,24.5323,134.66000366210938,88.94863891601562
2013-09-05,31.0888,24.2473,132.1999969482422,88.94054412841797
2013-09-06,31.2288,24.5373,134.14999389648438,88.94863891601562
2013-09-09,31.9688,24.5773,133.91000366210938,88.94054412841797
2013-09-10,32.4988,24.5073,131.74000549316406,88.94863891601562
2013-09-11,32.6588,24.7173,131.6999969482422,88.94054412841797
2013-09-12,32.3688,24.7223,127.66999816894533,88.94863891601562
2013-09-13,32.5488,24.8223,127.81999969482422,88.94863891601562
2013-09-16,32.9388,25.0023,126.4499969482422,88.94054412841797
2013-09-17,33.0688,25.0273,126.5,88.94054412841797
2013-09-18,34.1688,25.4273,132.00999450683594,88.94863891601562
2013-09-19,33.9888,25.3873,131.75,88.94863891601562
2013-09-20,33.4788,25.3523,127.95999908447266,88.94863891601562
2013-09-23,33.1488,25.3723,127.5500030517578,88.94863891601562
2013-09-24,33.0488,25.4173,127.66000366210938,88.94863891601562
2013-09-25,32.9988,25.4073,128.7899932861328,88.95663452148438
2013-09-26,33.1788,25.2923,127.79000091552734,88.95663452148438
2013-09-27,32.9988,25.4323,128.97000122070312,88.95663452148438
2013-09-30,32.6588,25.4623,128.17999267578125,88.94863891601562
2013-10-01,33.0988,25.5634,124.58999633789062,88.94054412841797
2013-10-02,33.0188,25.7184,127.05999755859376,88.93247985839844
2013-10-03,32.6888,25.7534,127.18000030517578,88.93247985839844
2013-10-04,32.9188,25.6334,126.52999877929688,88.94054412841797
2013-10-07,32.4688,25.7134,127.63999938964844,88.93247985839844
2013-10-08,31.8788,25.7034,127.4000015258789,88.93247985839844
2013-10-09,31.9888,25.5884,126.11000061035156,88.9163589477539
2013-10-10,33.1188,25.4884,124.2699966430664,88.9163589477539
2013-10-11,33.5088,25.5934,122.5999984741211,88.92442321777344
2013-10-14,33.6488,25.5734,122.83000183105467,88.9163589477539
2013-10-15,33.2588,25.4884,123.7300033569336,88.9001693725586
2013-10-16,33.8788,25.5034,123.54000091552734,88.90827941894531
2013-10-17,34.4388,25.8884,127.41999816894533,88.93247985839844
2013-10-18,34.7788,25.9334,126.8499984741211,88.94054412841797
2013-10-21,34.8388,25.8834,126.9800033569336,88.94054412841797
2013-10-22,35.2488,26.1134,129.33999633789062,88.93247985839844
2013-10-23,34.7388,26.1734,128.69000244140625,88.94054412841797
2013-10-24,35.0488,26.1434,129.89999389648438,88.94054412841797
2013-10-25,35.1088,26.1684,130.4600067138672,88.94054412841797
2013-10-28,35.0988,26.1684,130.55999755859375,88.92442321777344
2013-10-29,35.2388,26.0634,129.77000427246094,88.92442321777344
2013-10-30,35.0188,25.9684,129.60000610351562,88.93247985839844
2013-10-31,34.7188,25.8284,127.73999786376952,88.93247985839844
2013-11-01,34.6888,25.6222,126.9499969482422,88.92442321777344
2013-11-04,35.0188,25.7022,126.80999755859376,88.92442321777344
2013-11-05,34.5888,25.5772,126.55999755859376,88.92442321777344
2013-11-06,34.8588,25.5922,127.1999969482422,88.92442321777344
2013-11-07,34.0488,25.5872,126.16000366210938,88.92442321777344
2013-11-08,34.5488,25.2972,124.27999877929688,88.92442321777344
2013-11-11,34.5888,25.3922,123.87000274658205,88.93247985839844
2013-11-12,34.4288,25.2422,122.4499969482422,88.94054412841797
2013-11-13,34.7488,25.4022,122.8499984741211,88.94054412841797
2013-11-14,35.0188,25.4722,124.2699966430664,88.94054412841797
2013-11-15,35.4388,25.4872,124.31999969482422,88.93247985839844
2013-11-18,35.4088,25.5472,122.9000015258789,88.93247985839844
2013-11-19,35.2188,25.5322,122.9499969482422,88.93247985839844
2013-11-20,34.9388,25.3922,120.12000274658205,88.94054412841797
2013-11-21,35.3288,25.3272,119.94000244140624,88.94054412841797
2013-11-22,35.5488,25.4422,119.91999816894533,88.94054412841797
